Ordinal,Make,Model,Year,Nickname,Division,Country,PI,S,B,H,A,Pwr kW, Pwr PS,Pwr hp,Mass kg,Mass lb,Trq N.m,Trq ft-lb,Drvtr.,Eng.pos.,Dsp.,Cfg.,Cyl.,Ind.,Type,Doors,Topless,Steer.pos.
3118,Chevrolet,Corvette ZR1,2019,Chev. C7 ZR1 '19,Modern Sport GT,USA,756,6.1,4.6,4.3,6.3,563,765,755,1615,3560,969,715,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
3256,Chevrolet,#23 Ruman Racing TA Corvette,2018,Chev. #23 C7,Forza GT,USA,899,5.5,7.1,7.3,6.7,634,862,850,1321,2912,746,550,RWD,F,5.9,V,8,NA,Race,2,False,L,Door23
3149,Chevrolet,Camaro ZL1 1LE,2018,Chev. Camaro '18,Modern Sport Touring,USA,667,5.3,4,3.7,4.5,485,659,650,1740,3836,881,650,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
3801,Chevrolet,Camaro ZL1 1LE Forza Edition,2018,Chev. Camaro FE,Modern Sport Touring,USA,700,4.9,4.6,4.5,4.6,508,691,681,1775,3913,923,681,RWD,F,6.2,V,8,PDS,Upgraded,2,False,L,Door23
2739,Chevrolet,Camaro ZL1,2017,Chev. Camaro '17,Modern Sport Touring,USA,646,5.8,3.5,3.3,4.5,485,659,650,1761,3882,881,650,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
2523,Chevrolet,Camaro Super Sport,2016,Chev. Camaro '16,Modern Sport Touring,USA,583,5,2.8,2.8,3.8,339,461,455,1666,3673,617,455,RWD,F,6.2,V,8,NA,Factory,2,False,L,Door23
2485,Chevrolet,#10 Konica Minolta Corvette Daytona Prototype,2015,Chev. #10 DP,Forza P2,USA,912,4.8,9.2,9.1,6.3,432,587,579,1106,2438,624,460,RWD,MR,5.5,V,8,NA,Race,2,False,L,Door23
2177,Chevrolet,Corvette Z06,2015,Chev. C6 Z06 '15,Modern Sport GT,USA,721,4.9,4.8,4.5,5.1,485,659,650,1604,3536,881,650,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
2226,Chevrolet,#3 Corvette Racing Corvette C7.R,2014,Chev. #3 C7,Forza GT,USA,804,4.6,6.5,6.8,6,366,498,491,1323,2917,658,485,RWD,F,5.5,V,8,NA,Race,2,False,L,Door23
1317,Chevrolet,#55 Level 5 Motorsports Oreca FLM09,2010,Chev. #55 09,Forza P2,USA,915,4.7,9.6,9.7,7.1,321,436,430,960,2116,630,465,RWD,MR,6.2,V,8,NA,Race,0,True,R,Open
1069,Chevrolet,Corvette ZR1,2009,Chev. C6 ZR1 '09,Modern Sport GT,USA,707,7.1,3.8,3.7,5.5,476,647,638,1520,3351,819,604,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
287,Chevrolet,Camaro 35th Anniversary Super Sport,2002,Chev. Camaro '02,Sport Touring Classics,USA,499,4.2,2.2,2.4,3,242,329,325,1612,3554,475,350,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
314,Chevrolet,Corvette Z06,2002,Chev. C4 Z06 '02,Sport GT Icons,USA,599,6,2.7,3.3,3.6,302,411,405,1414,3117,542,400,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
2006,Chevrolet,Corvette ZR-1,1995,Chev. C4 ZR1 '95,Sport GT Icons,USA,579,5,2.6,3,3.6,302,411,405,1590,3505,522,385,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
1033,Chevrolet,Camaro IROC-Z,1990,Chev. Camaro '90,Sport Touring Classics,USA,367,3.2,1.8,2.1,2.4,183,249,245,1645,3627,468,345,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
1575,Chevrolet,Monte Carlo Super Sport,1988,Chev. MC '88,Sport Touring Classics,USA,255,1,1.4,1.5,1.3,134,182,180,1598,3523,305,225,RWD,F,5,V,8,NA,Factory,2,False,L,Door23
2776,Chevrolet,#76 Greenwood Corvette,1976,Chev. #76 C3,GTX Sportscars,USA,811,7.5,5.2,5.5,7,552,751,740,1270,2800,853,629,RWD,F,7.7,V,8,NA,Race,2,False,L,Door23
1330,Chevrolet,Camaro Z28,1970,Chev. Camaro '70,Vintage Muscle,USA,353,1.9,1,1.1,2.9,268,364,359,1610,3549,515,380,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
299,Chevrolet,Chevelle Super Sport 454,1970,Chev Chevelle 70,Street Drag Racers,USA,383,1.1,1.1,1.2,3.2,336,457,451,1528,3369,678,500,RWD,F,7.4,V,8,NA,Factory,2,False,L,Door23
315,Chevrolet,Corvette ZR-1,1970,Chev. ZR-1 '70,Vintage Muscle,USA,386,1.5,1.3,1.6,2.5,276,375,370,1510,3329,515,380,RWD,F,5.7,V,8,NA,Factory,2,False,L,Door23
3972,Chevrolet,Camaro Jordan Luka 3 Motorsport Edition,1969,Camaro JL3,Vintage Muscle,USA,693,3.9,4.8,4.7,4,391,532,524,1500,3307,660,487,RWD,F,6.2,V,8,NA,Upgraded,2,False,L,Door23
289,Chevrolet,Camaro Super Sport Coupe,1969,Chev. Camaro '69,Vintage Muscle,USA,333,1.7,1.1,1.2,2.5,280,381,375,1665,3671,563,415,RWD,F,6.5,V,8,NA,Factory,2,False,L,Door23
1429,Chevrolet,Nova Super Sport 396,1969,Chev. Nova '69,Street Drag Racers,USA,354,2.5,1,1,2.7,280,381,375,1574,3470,563,415,RWD,F,6.5,V,8,NA,Factory,2,False,L,Door23
312,Chevrolet,Corvette Stingray 427,1967,Chev. C3 427 '67,Vintage Muscle,USA,405,2.7,1.3,1.4,3,324,441,434,1515,3340,624,460,RWD,F,7,V,8,NA,Factory,2,False,L,Door23
3541,Chevron,B16,1970,Chevron B16,Vintage Le Mans Prototypes,GBR,654,3.1,5.3,5.3,4.2,160,218,215,695,1532,210,155,RWD,MR,2,I,4,NA,Race,2,False,R,Door23
2581,Chrysler,VH Valiant Charger R/T E49,1972,Chry. Valiant 72,Street Drag Racers,USA,361,1.9,1,1.1,3,225,306,302,1375,3031,441,325,RWD,F,4.3,I,6,NA,Factory,2,False,R,Door23
1665,Citroën,DS 3 Racing,2011,Citroen DS 3 '11,Modern Hot Hatch,FRA,379,1.8,2.3,2.3,2.4,152,207,204,1221,2692,275,203,FWD,F,1.6,I,4,T,Factory,2,False,L,Door23
2488,Datsun,#33 280ZX Turbo,1979,Datsun #33 280ZX,GTX Sportscars,JPN,842,6.3,6,6.1,7.4,559,760,750,1164,2566,882,651,RWD,F,4.2,V,8,TT,Race,2,False,L,Door23
1104,Datsun,510,1970,Datsun 510 '70,Vintage Sport Compact,JPN,223,1,1,1,1.2,72,98,97,930,2050,136,100,RWD,F,1.6,I,4,NA,Factory,2,False,L,Door23
2272,Datsun,2000 Roadster,1969,Datsun 2000,Sport Coupe Icons,JPN,251,1,1,1.1,1.4,101,137,135,968,2134,179,132,RWD,F,2,I,4,NA,Factory,2,True,L,Door23
3292,Dodge,#9 American V8 Road Racing TA Challenger,2019,Dodge #9 C,Forza GT,USA,898,5.4,7.2,7.3,7,638,867,856,1321,2912,786,580,RWD,F,5.8,V,8,NA,Race,2,False,L,Door23
2909,Dodge,Challenger SRT Demon,2018,D. Challenger 18,Modern Sport Touring,USA,679,7.2,5.5,2.5,5.1,626,851,839,1941,4279,1045,771,RWD,F,6.2,V,8,PDS,Factory,2,False,L,Door23
2544,Dodge,Viper ACR,2016,Dodge Viper '16,Modern Sport GT,USA,767,4.1,6.1,5.6,5.5,481,654,645,1528,3369,813,600,RWD,F,8.4,V,10,NA,Factory,2,False,L,Door23
2468,Dodge,Charger SRT Hellcat,2015,Dodge Charger 15,Modern Sport Touring,USA,620,7.1,2.8,2.4,4.4,527,717,707,2075,4575,881,650,RWD,F,6.2,V,8,PDS,Factory,4,False,L,Door45
2229,Dodge,#93 SRT Motorsports Viper GTS-R,2014,Dodge #93 Viper,Forza GT,USA,808,4.5,6.5,6.8,5.5,354,481,475,1327,2926,706,521,RWD,F,8,V,10,NA,Race,2,False,L,Door23
2104,Dodge,Dart GT,2013,Dodge Dart '13,Modern Sport Compact,USA,315,2.5,1.7,2,1.8,137,186,184,1495,3296,232,171,FWD,F,2.4,I,4,NA,Factory,4,False,L,Door45
1620,Dodge,Challenger SRT8,2012,D. Challenger 12,Modern Sport Touring,USA,548,5.1,2.7,2.4,4.1,350,476,469,1887,4160,637,470,RWD,F,6.4,V,8,NA,Factory,2,False,L,Door23
1046,Dodge,Viper SRT10 ACR,2008,Dodge Viper '08,Modern Sport GT,USA,737,4.4,5.4,5.3,4.6,447,608,599,1546,3408,759,560,RWD,F,8.4,V,10,NA,Factory,2,False,L,Door23
1306,Dodge,SRT-4 ACR,2005,Dodge SRT-4 '05,Early Sport Compact,USA,429,3.4,1.7,1.9,2.8,171,232,229,1354,2985,339,250,FWD,F,2.4,I,4,T,Factory,4,False,L,Door45
483,Dodge,Viper GTS ACR,1999,Dodge Viper '99,Sport GT Icons,USA,602,5.3,3.3,3.3,3.7,343,466,460,1565,3450,678,500,RWD,F,8,V,10,NA,Factory,2,False,L,Door23
457,Dodge,Stealth R/T Turbo,1996,Dodge Stealth 96,Early Sport Compact,USA,449,4.3,2,2.3,2.6,239,325,321,1735,3825,427,315,AWD,F,3,V,6,TT,Factory,2,False,L,Door23
1292,Dodge,Shelby Omni GLHS,1986,Dodge Shelby '86,Hot Hatch Icons,USA,306,1.2,1.6,1.6,2.2,130,177,174,1152,2540,237,175,FWD,F,2.2,I,4,T,Factory,4,False,L,Door45
639,Dodge,Challenger R/T,1970,D. Challenger 70,Street Drag Racers,USA,395,2.9,1.2,1.3,3.2,317,431,425,1591,3508,665,490,RWD,F,7,V,8,NA,Factory,2,False,L,Door23
1352,Dodge,Coronet Super Bee,1970,Dodge Coronet 70,Street Drag Racers,USA,398,3.2,1.3,1.4,3.1,317,431,425,1551,3419,664,490,RWD,F,7,V,8,NA,Factory,2,False,L,Door23
1063,Dodge,Charger Daytona HEMI,1969,Charger Daytona,Vintage Muscle,USA,392,2.1,1.4,1.5,3.2,317,431,425,1758,3876,664,490,RWD,F,7,V,8,NA,Factory,2,False,L,Door23
513,Dodge,Charger R/T,1969,Dodge Charger 69,Vintage Muscle,USA,376,3,1.1,1.2,3,317,431,425,1665,3671,664,490,RWD,F,7,V,8,NA,Factory,2,False,L,Door23
2105,Donkervoort,D8 GTO,2013,Donkervoort GTO,Track Toys,NED,717,3.5,4.6,4.5,5.2,280,381,375,695,1532,475,350,RWD,F,2.5,I,5,T,Factory,2,True,L,Door23
462,Eagle,Talon TSi Turbo,1998,Eagle Talon,Early Sport Compact,USA,320,2.6,1.5,1.9,1.9,157,213,211,1451,3199,290,214,AWD,F,2,I,4,T,Factory,2,False,L,Door23
2275,Eagle-Weslake,T1G,1967,Eagle T1G,Formula 60s,USA,763,5.2,4.4,4.7,6.4,306,416,410,642,1415,330,243,RWD,MR,3,V,12,NA,Race,0,True,C,Open
3334,Elemental,Rp1,2019,Elemental Rp1 19,Track Toys,GBR,784,2.7,7.1,7.2,6.2,209,284,280,632,1393,475,350,RWD,MR,2,I,4,T,Factory,0,True,L,Open
2866,Exomotive,Exocet Sport V8 XP-5,2018,Exocet '18,Track Toys,USA,776,4.2,5.3,5.1,4.2,391,532,524,769,1695,660,487,RWD,F,6.2,V,8,NA,Factory,0,True,L,Open
3724,Ferrari,296 GTB,2022,Ferrari 296 GTB,Modern Sport GT,ITA,786,7.6,4.5,4.2,6.4,610,829,818,1575,3472,900,664,RWD,MR,3,V,6,TT,Factory,2,False,L,Door23
3594,Ferrari,Roma,2020,Ferrari Roma '20,Modern Exotic GT,ITA,707,5.8,3.7,3.3,5.4,456,620,612,1570,3461,760,561,RWD,F,3.9,V,8,TT,Factory,2,False,L,Door23
3595,Ferrari,SF90 Stradale,2020,Ferrari SF90 '20,Modern Exotic GT,ITA,854,9,4.5,4.3,8.3,735,999,986,1621,3574,1238,913,AWD,MR,4,V,8,TT,Factory,2,False,L,Door23
2972,Ferrari,#62 Risi Competizione 488 GTE,2019,Ferrari #62 488,Forza GT,ITA,835,5,6.4,6.6,6.7,447,608,599,1330,2932,730,538,RWD,MR,3.9,V,8,TT,Race,2,False,L,Door23
3227,Ferrari,488 Pista,2019,Ferrari 488,Modern Sport GT,ITA,804,6.7,5.2,5,6.7,530,721,711,1385,3053,769,567,RWD,MR,3.9,V,8,TT,Factory,2,False,L,Door23
3367,Ferrari,F8 Tributo,2019,Ferrari F8 T '19,Modern Exotic GT,ITA,766,8.7,4.1,3.9,6.7,530,721,711,1541,3397,770,568,RWD,MR,3.9,V,8,TT,Factory,2,False,L,Door23
3312,Ferrari,Monza SP2,2019,Ferrari Monza 19,Modern Exotic GT,ITA,766,8.2,4,3.7,6.3,596,810,799,1589,3503,719,530,RWD,F,6.5,V,12,NA,Factory,2,True,L,Door23
3311,Ferrari,FXX-K Evo,2018,Ferrari FXX-K E,Modern Factory Racecars,ITA,934,7.6,8.1,8.1,7.8,772,1050,1035,1270,2800,900,664,RWD,MR,6.3,V,12,NA,Race,2,False,L,Door23
3225,Ferrari,Portofino,2018,Ferrari Porto 18,Modern Exotic GT,ITA,686,7.1,3.6,3.3,5.5,441,600,591,1664,3668,759,560,RWD,F,3.9,V,8,TT,Factory,2,False,L,Door23
3112,Ferrari,#25 Corse Clienti 488 Challenge,2017,Ferrari #25 488,Forza GT,ITA,830,4.6,6.3,6.2,6.9,493,670,661,1434,3161,760,561,RWD,MR,3.9,V,8,TT,Race,2,False,L,Door23
2974,Ferrari,812 Superfast,2017,Ferrari 812 '17,Modern Exotic GT,ITA,783,9.2,4.4,4.1,6.6,588,799,789,1630,3594,717,529,RWD,F,6.5,V,12,NA,Factory,2,False,L,Door23
3226,Ferrari,J50,2017,Ferrari J50 '17,Modern Exotic GT,ITA,763,8.3,4.1,3.9,6.3,508,691,681,1525,3362,759,560,RWD,MR,3.9,V,8,TT,Factory,2,True,L,Door23
2467,Ferrari,488 GTB,2015,Ferrari 488 GTB,Modern Sport GT,ITA,753,7.9,4,3.8,6.2,492,669,660,1475,3252,760,561,RWD,MR,3.9,V,8,TT,Factory,2,False,L,Door23
2577,Ferrari,F12tdf,2015,Ferrari F12 '15,Modern Exotic GT,ITA,766,7.9,4.7,4.5,6.2,573,779,768,1520,3351,704,519,RWD,F,6.3,V,12,NA,Factory,2,False,L,Door23
2194,Ferrari,California T,2014,Ferrari Cali T,Modern Sport GT,ITA,653,6,3.4,3.1,5.1,413,562,554,1730,3814,754,556,RWD,F,3.9,V,8,TT,Factory,2,False,L,Door23
2371,Ferrari,FXX K,2014,Ferrari FXX K,Modern Factory Racecars,ITA,922,7.3,7.7,7.7,7.7,772,1050,1035,1284,2831,901,665,RWD,MR,6.3,V,12,NA,Race,2,False,L,Door23
2184,Ferrari,458 Speciale,2013,Ferrari 458 S,Modern Sport GT,ITA,782,6.9,5,4.7,6.7,445,605,597,1395,3075,540,398,RWD,MR,4.5,V,8,NA,Factory,2,False,L,Door23
2034,Ferrari,LaFerrari,2013,LaFerrari '13,Modern Exotic GT,ITA,859,7.3,5.9,5.8,7.4,708,963,949,1426,3144,900,664,RWD,MR,6.3,V,12,NA,Factory,2,False,L,Door23
1599,Ferrari,599XX Evolution,2012,Ferrari 599XX E,Modern Factory Racecars,ITA,869,7,6.7,6.5,7.3,552,751,740,1412,3113,700,516,RWD,F,6,V,12,NA,Race,2,False,L,Door23
1440,Ferrari,#62 Risi Competizione 458 Italia GTC,2011,#62 F458 GTC,Forza GT,ITA,805,4.9,6.3,6.5,5.3,347,472,465,1313,2895,520,384,RWD,MR,4.5,V,8,NA,Race,2,False,L,Door23
1171,Ferrari,599XX,2010,Ferrari 599XX,Modern Factory Racecars,ITA,836,6.2,6,5.8,7.1,515,700,691,1412,3113,650,479,RWD,F,6,V,12,NA,Race,2,False,L,Door23
1131,Ferrari,458 Italia,2009,Ferrari 458,Modern Sport GT,ITA,727,6.5,4.2,3.9,6,419,570,562,1485,3274,540,398,RWD,MR,4.5,V,8,NA,Factory,2,False,L,Door23
1022,Ferrari,430 Scuderia,2007,Ferrari 430 S,Modern Sport GT,ITA,707,6.4,4.2,4,5.4,375,510,503,1350,2976,470,347,RWD,MR,4.3,V,8,NA,Factory,2,False,L,Door23
297,Ferrari,360 Challenge Stradale,2003,Ferrari 360 CC,Sport GT Icons,ITA,644,5.5,3.8,3.9,4.1,305,415,409,1290,2844,373,275,RWD,MR,3.6,V,8,NA,Factory,2,False,L,Door23
257,Ferrari,575M Maranello,2002,Ferrari 575M '02,Exotic GT Classics,ITA,585,5.8,2.6,2.7,4.4,379,515,508,1730,3814,588,434,RWD,F,5.7,V,12,NA,Factory,2,False,L,Door23
333,Ferrari,Enzo Ferrari,2002,Ferrari Enzo '02,Exotic GT Classics,ITA,787,7.3,5.3,5.3,6.3,485,659,650,1400,3086,657,485,RWD,MR,6,V,12,NA,Factory,2,False,L,Door23
524,Ferrari,#12 Risi Competizione F333 SP,1998,Ferrari #12 F333,Early LMP,ITA,935,5.5,8.9,9.3,7.7,485,659,650,935,2061,448,330,RWD,MR,4,V,12,NA,Race,2,True,R,Door23
1020,Ferrari,F50 GT,1996,Ferrari F50 GT,Early Factory Racecars,ITA,913,7.7,7,7.2,7.5,559,760,750,935,2061,520,384,RWD,MR,4.7,V,12,NA,Race,2,False,L,Door23
342,Ferrari,F50,1995,Ferrari F50 '95,Exotic GT Classics,ITA,683,5.9,4.1,4.4,4.4,383,521,514,1309,2886,470,347,RWD,MR,4.7,V,12,NA,Factory,2,False,L,Door23
253,Ferrari,F355 Berlinetta,1994,Ferrari F355,Sport GT Icons,ITA,568,5.2,2.7,3,3.6,280,381,375,1416,3122,363,268,RWD,MR,3.5,V,8,NA,Factory,2,False,L,Door23
255,Ferrari,512 TR,1992,Ferrari 512 '92,Exotic GT Classics,ITA,533,5.2,2.5,2.9,3.2,314,427,421,1674,3691,488,360,RWD,MR,4.9,F,12,NA,Factory,2,False,L,Door23
2126,Ferrari,#1 Scuderia Ferrari 641,1990,Ferrari #1 641,Grand Prix Rivals,ITA,999,6.8,10,10,10,507,689,680,668,1473,434,320,RWD,MR,3.5,V,12,NA,Race,0,True,C,Open
1023,Ferrari,F40 Competizione,1989,Ferrari F40 Comp,Early Factory Racecars,ITA,874,7.8,6.6,7.1,6.5,515,700,691,1040,2293,714,527,RWD,MR,2.9,V,8,TT,Race,2,False,L,Door23
340,Ferrari,F40,1987,Ferrari F40 '87,Exotic GT Classics,ITA,699,6.1,3.6,4,5.6,356,484,477,1350,2976,575,424,RWD,MR,2.9,V,8,TT,Factory,2,False,L,Door23
358,Ferrari,288 GTO,1984,Ferrari 288 GTO,Sport GT Icons,ITA,569,5,2.6,2.9,4,295,401,396,1250,2756,496,366,RWD,MR,2.9,V,8,TT,Factory,2,False,L,Door23
2315,Ferrari,#72 N.A.R.T. 512 BB/LM,1982,Ferrari #72 BBLM,GTX Sportscars,ITA,774,6.3,5.4,5.9,5.1,373,507,500,1140,2513,451,333,RWD,R,4.9,F,12,NA,Race,2,False,L,Door23
2015,Ferrari,#1 Scuderia Ferrari 312 T2,1976,Ferrari #1 312,Formula 70s,ITA,871,4.6,7.8,7.9,9.7,373,507,500,725,1598,320,236,RWD,MR,3,F,12,NA,Race,0,True,C,Open
3062,Ferrari,512 S,1970,Ferrari 512S,Vintage Le Mans Prototypes,ITA,843,6.7,5.9,6.3,7.9,404,549,542,945,2083,503,371,RWD,MR,5,V,12,NA,Race,2,False,R,Door23
326,Ferrari,Dino 246 GT,1969,Ferrari Dino 246,Vintage Exotic GT,ITA,311,2.1,1.5,1.8,2,145,197,194,1132,2496,224,165,RWD,MR,2.4,V,6,NA,Factory,2,False,L,Door23
2793,Ferrari,#24 Ferrari Spa 330 P4,1967,Ferrari 330 P4,Vintage Le Mans Prototypes,ITA,764,5.9,4.7,5.2,6.5,336,457,451,877,1933,522,385,RWD,MR,4,V,12,NA,Race,2,False,R,Door23
2401,Ferrari,F-158,1964,Ferrari F-158,Formula 60s,ITA,677,3.6,4.4,4.5,5.3,157,213,211,562,1239,142,105,RWD,MR,1.5,V,8,NA,Race,0,True,C,Open
2268,Ferrari,250LM,1963,Ferrari 250LM,Vintage Le Mans Sportscars,ITA,624,5,3.1,3.3,3.6,235,320,315,917,2022,314,232,RWD,MR,3.3,V,12,NA,Race,2,False,R,Door23
1578,Ferrari,250 GT Berlinetta Lusso,1962,Ferrari 250 GT,Sport Coupe Icons,ITA,381,2.7,1.4,1.5,2.9,189,257,253,1105,2436,292,215,RWD,F,3,V,12,NA,Factory,2,False,L,Door23
249,Ferrari,250 GTO,1962,Ferrari 250 GTO,Vintage Le Mans Sportscars,ITA,560,4.3,2.6,3.2,3.8,224,305,300,977,2154,293,216,RWD,F,3,V,12,NA,Factory,2,False,R,Door23
1154,Ferrari,250 Testa Rossa,1957,Ferrari 250 TR,Vintage Le Mans Sportscars,ITA,559,3.7,2.3,2.7,4.2,224,305,300,905,1995,302,223,RWD,F,3,V,12,NA,Race,2,True,R,Door23
2186,Ferrari,500 Mondial,1953,Ferrari 500 M,Vintage Le Mans Sportscars,ITA,365,2.1,1.6,2.1,2.1,125,170,168,832,1834,183,135,RWD,F,2,I,4,NA,Race,1,True,R,Closed
3019,Ferrari,166 Inter Sport,1948,Ferrari 166 IS,The Birth of Grand Prix,ITA,342,1.2,1.9,2.1,2.3,96,131,129,686,1512,159,117,RWD,F,2,V,12,NA,Race,0,True,R,Open
3916,Ford,#130 Mustang RTR,2024,#130 Mustang RTR,Formula Drift,USA,837,5.6,4.5,4.6,6.8,864,1175,1159,1493,3292,1235,911,RWD,F,7.5,V,8,NA,Race,2,False,R,Door23
3870,Ford,#25 Mustang RTR,2024,#25 Mustang RTR,Formula Drift,USA,810,6.8,4.5,4.6,6.2,844,1148,1132,1469,3239,1262,931,RWD,F,7.5,V,8,NA,Race,2,False,L,Door23
3868,Ford,#88 Mustang RTR,2024,#88 Mustang RTR,Formula Drift,USA,810,6.8,4.5,4.6,6.1,844,1148,1132,1469,3239,1262,931,RWD,F,7.5,V,8,NA,Race,2,False,L,Door23
3847,Ford,Mustang Dark Horse,2024,Ford Dark Horse,Modern Sport Touring,USA,633,5.4,3.8,3.5,4,373,507,500,1791,3948,567,418,RWD,F,5,V,8,NA,Factory,2,False,L,Door23
3846,Ford,Mustang GT,2024,Ford Mustang '24,Modern Sport Touring,USA,579,4.9,2.8,2.8,3.8,362,492,485,1736,3827,567,418,RWD,F,5,V,8,NA,Factory,2,False,L,Door23
-1,Ford,NASCAR Next Gen Mustang Dark Horse,2024,,Nascar,USA,855,6,7,7,5.5,500,680,671,1508,3325,638,471,RWD,F,5.9,V,8,NA,Factory,-1,False,L,Other
3277,Ford,Mustang Shelby GT500,2020,Ford GT500 '20,Modern Sport Touring,USA,724,6.4,4.1,3.9,5.3,567,771,760,1892,4171,847,625,RWD,F,5.2,V,8,PDS,Factory,2,False,L,Door23
3251,Ford,#98 Breathless Pro Racing TA Mustang,2018,Ford #98 Mustang,Forza GT,USA,897,5.5,7.1,7.2,6.7,634,862,850,1321,2912,746,550,RWD,F,5.9,V,8,NA,Race,2,False,L,Door23
3046,Ford,Mustang GT,2018,Ford Mustang '18,Modern Sport Touring,USA,568,4.9,2.7,2.7,3.7,343,466,460,1681,3706,569,420,RWD,F,5,V,8,NA,Factory,2,False,L,Door23
2760,Ford,#17 Shell V-Power Racing Team Falcon FG X,2017,Ford #17 Falcon,Forza GT,USA,785,5,5.6,5.6,5.7,474,644,636,1410,3109,630,465,RWD,F,5,V,8,NA,Race,4,False,R,Door45
2357,Ford,Focus RS,2017,Ford Focus '17,Modern Hot Hatch,USA,535,4.1,2.6,2.6,3.3,261,355,350,1563,3446,475,350,AWD,F,2.3,I,4,T,Factory,4,False,L,Door45
2363,Ford,GT,2017,Ford GT '17,Modern Sport GT,USA,795,7.9,4.8,4.8,6.8,482,655,646,1428,3148,746,550,RWD,MR,3.5,V,6,TT,Factory,2,False,L,Door23
2543,Ford,#66 Ford Racing GT Le Mans,2016,Ford #66 GT,Forza GT,USA,820,4.6,6.6,6.9,5.6,395,537,530,1312,2892,670,494,RWD,MR,3.6,V,6,TT,Race,2,False,L,Door23
2400,Ford,Shelby GT-350R,2016,Ford GT-350R '16,Modern Sport Touring,USA,651,5,4,3.8,3.9,392,533,526,1660,3660,582,429,RWD,F,5.2,V,8,NA,Factory,2,False,L,Door23
2409,Ford,#02 Chip Ganassi Racing Riley Mk XXVI Daytona Prototype,2015,Ford #02 DP,Forza P2,USA,921,5.1,9.3,9.2,6.8,447,608,599,1096,2416,733,541,RWD,MR,3.5,V,6,TT,Race,2,False,L,Door23
2580,Ford,Falcon GT F 351,2015,Ford Falcon '15,Modern Sport Touring,USA,544,5.6,2.6,2.4,3.6,351,477,471,1828,4030,569,420,RWD,F,5,V,8,PDS,Factory,4,False,R,Door45
2314,Ford,#17 AMD Tuning Focus ST BTCC,2014,Ford #17Focus ST,Forza Touring Cars,USA,703,3.4,5.2,5.4,4.3,246,334,330,1160,2557,427,315,FWD,F,2,I,4,T,Race,4,False,R,Door45
1654,Ford,Shelby GT500,2013,Ford Mustang '13,Modern Sport Touring,USA,639,6.1,2.9,2.9,4.1,494,672,662,1768,3898,856,631,RWD,F,5.8,V,8,PDS,Factory,-1,False,L,Other
1086,Ford,Focus RS,2009,Ford Focus '09,Modern Hot Hatch,USA,485,2.8,2.6,2.6,3,224,305,300,1468,3236,431,318,FWD,F,2.5,I,5,T,Factory,2,False,R,Door23
348,Ford,Ford GT,2005,Ford GT '05,Modern Sport GT,USA,642,6.6,3.4,3.5,4.2,410,557,550,1538,3391,678,500,RWD,MR,5.4,V,8,PDS,Factory,2,False,L,Door23
2019,Ford,Focus RS,2003,Ford Focus '03,Modern Hot Hatch,USA,384,1.9,2.1,2.1,2.6,158,215,212,1280,2822,309,228,FWD,F,2,I,4,T,Factory,2,False,L,Door23
405,Ford,SVT Cobra R,2000,Ford Cobra R '00,Sport Touring Classics,USA,533,4.3,3.1,3,3.2,287,390,385,1637,3609,522,385,RWD,F,5.4,V,8,NA,Factory,2,False,L,Door23
3228,Ford,Racing Puma,1999,Ford Puma '99,Early Sport Compact,USA,303,1.4,2.1,2.2,1.7,114,155,153,1174,2588,161,119,FWD,F,1.7,I,4,NA,Factory,2,False,R,Door23
1510,Ford,Mustang SVT Cobra R,1995,Ford Mustang '95,Sport Touring Classics,USA,443,3.5,2.4,2.5,2.8,224,305,300,1509,3327,495,365,RWD,F,5.8,V,8,NA,Factory,2,False,L,Door23
1041,Ford,SVT Cobra R,1993,Ford Cobra R '93,Sport Touring Classics,USA,374,2.2,2.2,2.4,2.3,175,238,235,1417,3124,380,280,RWD,F,4.9,V,8,NA,Factory,2,False,L,Door23
1272,Ford,Escort RS Cosworth,1992,Ford Escort '92,Hot Hatch Icons,USA,421,2.7,2.5,2.8,2.4,167,227,224,1275,2811,304,224,AWD,F,2,I,4,T,Factory,2,False,R,Door23
2514,Ford,Falcon GT,1992,Ford Falcon '92,Sport Touring Classics,USA,396,3.5,1.8,2,2.6,200,272,268,1647,3631,420,310,RWD,F,4.9,V,8,NA,Factory,4,False,R,Door45
3158,Ford,#15 Roush Racing Whistler Mustang,1991,Ford #15 Mustang,GTX Sportscars,USA,824,7.2,5.6,5.9,5.8,537,730,720,1247,2749,740,546,RWD,F,5.9,V,8,NA,Race,2,False,L,Door23
1293,Ford,Sierra Cosworth RS500,1987,Ford Sierra '87,Sport Touring Classics,USA,395,2.6,2.2,2.5,2.7,167,227,224,1240,2734,279,206,RWD,F,2,I,4,T,Factory,2,False,R,Door23
